Company Name,Contact Number,Website URL,Location/Address,Email Address,Company Description,Industry/Category
Gordin & Associates Inc.,(209) 523-2639,http://gordinandassociates.com,"1615 H St Modesto, CA 95354",louise@gordinandassociates.com,"If you have a complex financial situation or are just looking to have someone else operate the calculator, we can help you get a handle on your money. Looking to buy a house, save on your taxes or invest wisely? Our financial specialists at Gordin & Associates Inc. can guide you through the often-confusing world of finance. Whether you need help with your business or with your personal finances, we can make sure you come out on top. Give us a call today to schedule a consultation and start making your money work for you.","Financial Services, Accountants-Certified Public, Accounting Services"
Action Bail Bonds,(818) 945-0780,http://www.maddogbailbonds.com,"511 1/2 E Broadway Glendale, CA 91205",maddogbailbonds@gmail.com,"If you, or someone you love, are in trouble, contact Mad Dog Bail Bonds immediately. Across town, across state lines or across the country, Mad Dog Bail Bonds is the fastest way to get out of jail. We provide help 24/7 in Farsi, Armenian, Spanish and English. Our expertise and methods take the bite out of incarceration and can get you or a loved one off the leash---FAST. Posting bail can be a simple, low stress process when you have an advocate like Mad Dog Bail Bonds fighting for you!","Bail Bonds, Attorneys, Bail Bond Referral Service"
Abaasy Bail Bonds Vista,(760) 895-1570,http://www.abaasybailbonds.net/vista,"560 Greenbrier Dr #103-D Oceanside, CA 92054",william.coronel@gmail.com,"We offer The lowest Rates In San Diego, Bail Now Pay Later Program*, Payment Plans, Bail and ride home, E- check in, We Accept Bitcoin! 
ABAASY Bail Bonds is a Local San Diego Family Owned Bail Bonds Agency with over 12 years of combined experience with our main Office located in the heart of Downtown San Diego and service all Jails in California, We are available 24/7 for all of your Bail necessities ranging from posting a bail bond, a free 1275 hold specialist consultation, a free warrant check, and a personal Bail Bondsman assigned to each case from start to finish!  No Bond is too Big or too small, at ABAASY Bail Bonds we bail them all! 
 
Give Us a call 24/7","Bail Bonds, Financial Services, Insurance"
RS Auto Broker LLC,(909) 610-8707,https://rsautobroker.com,"20199 Valley Blvd. Suite B Walnut, CA 91789",windy@rsautobroker.com,"Whether you are buying a house, doing taxes or in litigation, it is best to hire an experienced professional to present your best interest. As your personal Auto Broker I will eliminate all in-person dealer contact and do all the negotiating for you. I act as a branch of the fleet department for most manufacturers.  Let me help you save time and money on your next vehicle. I can also help guide you in making the best decisions with finance options and help you utilize the program offers that change from month to month.  In need of a warranty? I can help you with that as well. Call me today for your free quote on the automobile of your dreams.","New Car Dealers, Automobile & Truck Brokers, Automobile Leasing"
"Gregor and Co, AAC",(949) 729-1040,http://www.gregorco.com,"3 Corporate Plaza Dr, Suite 260 Newport Beach, CA 92660",bobg@gregorco.com,"Business Accounting and Bookkeeping Services, Individual and Business Tax Preparation, Payroll Services, Trust and Fiduciary Accounting, Member: American Institute of Certified Public Accountants, California Society Of Certified Public Accountants. Robert A. Gregor CPA, CGMA","Financial Services, Accountants-Certified Public, Accounting Services"
Daniells Phillips Vaughan & Bock,(661) 834-7411,https://www.dpvb.com,"300 New Stine Rd Bakersfield, CA 93309",info@dpvb.com,"As CPAs and advisors, we strive to help you find solutions. We want to achieve the kind of working relationships with you and your staff that allow us to continually provide a wide range of advice to help you and your business take advantage of significant opportunities and tackle challenges with knowledge and confidence. We are never satisfied with status quo. We consider working with you a privilege and are committed to maximizing your potential and continued success. Schedule a consultation!","Financial Services, Accountants-Certified Public, Accounting Services"
Hawkes Hastings & Aaron Accountancy Corp.,(925) 946-4141,https://www.hha-cpas.com/contact_us.html,"2700 Ygnacio Valley Rd Ste 140 Walnut Creek, CA 94598",mark@hawkesandhastings.com,"* Mark S. Hawkes, CPA & Jeffrey W. Hastings, CPA  * Individual - Business - Estates  * Please Visit Our Website For More Information","Financial Services, Accountants-Certified Public, Accounting Services"
The Income Statement,(831) 663-6796,https://www.theincomestatement.com,"17557 Vierra Canyon Rd Prunedale, CA 93907",dheinstadt@outlook.com,"*David Heinstadt, EA 
*Pat Anderson, EA 
 
*Individuals, Partnerships 
*Corporations, LLC's 
*Estates and Trusts","Financial Services, Accounting Services, Bookkeeping"
Carmichael Jim-Century 21 Real Estate,(619) 713-9333,https://www.century21.com,"1133 Avocado Ave El Cajon, CA 92020",jimcarjr@aol.com,"CENTURY 21 Award is a part of Award-Superstars, ranked by RIS Media as one of the top real estate companies in the United States. The firm serves throughout Southern California and offers assistance with residential, investment and commercial properties. It has a staff of more than 1,500 real estate sales associates. CENTURY 21 Award is an affiliate of CENTURY 21 Real Estate, one of the largest residential real estate sales organizations in the world with more than 6,500 offices and over 110,000 real estate professionals in nearly 30 countries and territories. It offers a variety of services, such as property search, virtual tours, featured listings, and buyer and seller tips. CENTURY 21 Award operates over 10 sales offices throughout San Diego and Riverside counties in California and maintains an office in El Cajon, Calif.","Real Estate Agents, Financial Services, Financing Services"
Bollinger Glenn Guattery Gunn & McAravy LLP,(707) 526-2624,http://www.santarosacpa.com,"111 Santa Rosa Ave Santa Rosa, CA 95404",glenn@santarosacpa.com,"Because our results speak for themselves. We are forward-thinking and always in-tune with the present economy. We are respectful and polite and will discuss all options with you to help you achieve your financial prosperity, while maintaining compliance, dignity and ethics.    About Us    Bollinger, Glenn, Guattery, Gunn & McAravy was born when Bollinger Accountancy, Inc. & Glenn, Guattery, Gunn & McAravy, LLC merged in 2012.  Mr. Kelley Bollinger began his private practice in San Lorenzo, CA in 1980.  Nancy McAravy, began her practice in 1998, when collaboration formed Guattery, Gunn and McAravy, LLC.","Tax Return Preparation, Accountants-Certified Public, Accounting Services"
Platinum Jewelry & Loan DBA - DexHub,(661) 729-5500,http://www.platinumjewelryloan.com,"44617 Sierra Hwy Lancaster, CA 93534",mlk@pjloan.com,"We are family owned and operated  Se Habla Espanola  Open 7 Days  Instant Fast Cash-No Credit Check  Top Dollar Paid for Scrap Gold  ""Loans from $5.00-$1,000,000.00 in minutes""Expert Jewelry and Watch Repair Done on Premises  Graduate Gemologist on Premises.","Financial Services, All-Terrain Vehicles, Art Galleries, Dealers & Consultants"
Frank X Enright EA,(949) 493-8607,http://sanjuantax.com,"32332 Camino Capistrano Ste 100 San Juan Capistrano, CA 92675",frankenright@fxea.net,"Our firm provides outstanding service to our clients because of our dedication to the three underlying principles of professionalism, responsiveness and quality. Our firm is responsive. Companies who choose our firm rely on competent advice and fast, accurate personnel. We provide total financial services to individuals, large and small businesses and other agencies. Evenings and Saturdays available by appointment.","Financial Services, Accountants-Certified Public, Accounting Services"
"Axume & Associates CPAs, AAC",(661) 328-1815,http://www.axumecpas.com,"5001 California Ave Ste 124 Bakersfield, CA 93309",oscar@axumecpas.com,Serving Bakersfield and surrounding areas in Kern County and San Fernando Valley since 1997,"Financial Services, Accountants-Certified Public, Accounting Services"
Blankenship & Company,(559) 299-1894,https://www.blankenshipcpas.com,"311 Bullard Ave Clovis, CA 93612",jeff@blankenshipcpas.com,Serving the Fresno County area for over 35 years!,"Financial Services, Accountants-Certified Public, Accounting Services"
Crown  Escrow Corp,(213) 413-3370,http://crownescrow.com,"4242 W Sunset Blvd. Suite 2 Los Angeles, CA 90029",blueloandocs@yahoo.com,"Real Estate Agents and Brokers are licensed professionals that mediate between buyers and sellers of real estate properties. In order for them to practice their profession, they must be licensed according to the laws of the state in which they work in.","Notaries Public, Escrow Service, Financial Services"
Sepulveda Escrow Corporation,(818) 838-1831,http://www.sepulvedaescrow.net,"10550 Sepulveda Boulevard Los Angeles, CA 91345",mmotkin@sepulvedaescrow.net,"YOUR FULL SERVICE AND BUSINESS ESCROW SPECIALIST We are committed to providing our clients with the best escrow service available throughout the transaction. Our team of professionals is available to answer your questions and concerns, and WE MAKE YOU A PRIORITY. Escrow Officers who expertly draw the necessary legal documents and escrow instructions to facilitate the transfer of real property, business assets, liquor licenses, and mobile homes. We are your local, professional, affordable Escrow Company!","Financial Services, Escrow Service, Notaries Public"
Mark J. Concialdi CPA,(626) 578-0203,http://ourtaxguy.com,"521  1/2 S Myrtle Ave. Ste 2 Monrovia, CA 91016",mjc@ourtaxguy.com,"The firm of Concialdi & Company, established in 1986, is a full service accounting firm. If you have accounting, tax, or audit needs, we are the firm you should call.  Tax returns are done by appointment only. For your convenience, we are available evenings and weekends.","Tax Return Preparation, Accountants-Certified Public, Accounting Services"
Mutual of Omaha Reverse Mortgage - Dan Casagrande,(831) 423-2900,http://www.reversemandan.com,"1414 Soquel Ave Santa Cruz, CA 95062",dcasagrande@rfslends.com,"Dan Casagrande is your local reverse mortgage expert serving Santa Cruz County, Santa Clara County, Monterey, and San Benito Counties.  Dan helps people to understand their options and how a reverse mortgage can help with your retirement plan. He is happy to answer your questions by phone, email, or in person at your kitchen table, ready to answer all your reverse mortgage questions.","Financial Services, Loans, Mortgages"
Mark S. Pasternak Certified Public Accountant,(805) 892-7678,http://www.msp-cpa.com,"102 N Milpas St Santa Barbara, CA 93103",mpasternak@msp-cpa.com,"Our firm provides outstanding service to our clients because of our dedication to the three underlying principles of professionalism, responsiveness and quality.Our firm is one of the leading firms in the area. By combining our expertise, experience and the energy of our staff, each client receives close personal and professional attention.Our high standards, service and specialized staff spell the difference between our outstanding performance, and other firms. We make sure that every client is served by the expertise of our whole firm.Our firm is responsive. Companies who choose our firm rely on competent advice and fast, accurate personnel. We provide total financial services to individuals, large and small businesses and other agencies.To see a listing of our services, please take a moment and look at our services page. Because we get new business from the people who know us best, client referrals have fueled our growth in the recent years.Through hard work, we have earned the respect of the business and financial communities. This respect illustrates our diverse talents, dedication and ability to respond quickly.An accounting firm is known for the quality of its service. Our firm's reputation reflects the high standards we demand of ourselves.Our primary goal as a trusted advisor is to be available to provide insightful advice to enable our clients to make informed financial decisions. We do not accept anything less from ourselves and this is what we deliver to you.We feel it is extremely important to continually professionally educate ourselves to improve our technical expertise, financial knowledge and service to our clients.Our high service quality and ""raving fan"" clients are the result of our commitment to excellence","Tax Return Preparation, Accountants-Certified Public, Accounting Services"
Business & Escrow Service Center,(408) 296-7373,http://www.business-escrow.net,"3031 Tisch Way San Jose, CA 95128",pam@business-escrow.net,"Business & Escrow Service Center, serving the Bay Area and Silicon Valley, is conveniently located near Stevens Creek and Winchester Blvd. in the Santana Office Tower, San Jose. Business & Escrow Service Center began operation in 1980 as the first and only Escrow Company in Santa Clara County to specialize in liquor licenses and business transfers. Today we are a major provider of Escrow Services for commercial property sales, residential sales and refinances, mobile home sales and refinances, and bulk sales.  Our focused expertise allows us to serve the entire Bay Area with individualized, professional assistance, and our staff utilizes the depth of 30+ years of experience to provide each customer with the quality service they deserve. We specialize in providing accurate, competitive and courteous client support. We thank our faithful customers and look forward to serving you in the future.","Financial Services, Escrow Service, Insurance"
Music Exchange,(669) 235-9925,https://muexsj.com,"861 S Winchester Blvd San Jose, CA 95128",judy@muex.com,"Music Exchange has been actively involved with schools, universities, houses of worship, and arts organizations throughout the Bay Area and is committed to building a partnership that will bring your institution to the next level. If youre looking to replace old pianos or just starting out, we will work with you to evaluate your inventory and identify your needs while keeping your budget a priority.","Pianos & Organs, Computer Online Services, Credit Card-Merchant Services"
A B Tax Service - John Bazaldua EA,(805) 288-1298,http://www.abtaxandrealestate.com,"162 E Channel Islands Blvd Oxnard, CA 93033",abtaxservice@aol.com,"A B Tax Service - John Bazaldua E.A. is a complete tax and bookkeeping services, serving all of Ventura County since 1964. We provide year-round service including payroll, bookkeeping, accounting, and all tax services. Call us today for more information and additional inquiries.","Bookkeeping, Accountants-Certified Public, Accounting Services"
Hudson Howard R CPA,(805) 745-3039,https://impulse.net,"225 E Carrillo St Santa Barbara, CA 93101",hrhcpa@silcom.com,"Howard Hudson & Company is a full service Certified Public Accounting Firm serving clients throughout Southern California.  From our offices in Santa Barbara we advise companies doing business worldwide.  Our clientele consists of individuals, closely held businesses, and nonprofit organizations engaged in a wide variety of industries.  Howard Hudson & Company provides a broad range of professional services designed to help you make tax-wise business and personal investment decisions year-round as part of continuous tax and financial planning.","Tax Return Preparation, Accountants-Certified Public, Estate Planning Attorneys"
Garrett & Associates CPA,(951) 821-3646,http://www.cpagarrett.com,"26820 Cherry Hills Blvd Sun City, CA 92586",ugarrett@cpagarrett.com,"At Garrett & Associates CPA, we are a Riverside County CPA firm providing a wide variety of accounting, tax, and financial management services tailored to meet the needs of our business clients. We keep abreast of tax law changes throughout the year to ensure that you are taking advantage of all tax incentives. Call us for more information.","Accountants-Certified Public, Accounting Services, Business Management"
JTC Accountancy Corp,(626) 642-9269,http://www.jtc-cpas.com,"430 S Garfield Ave, Ste 489 Alhambra, CA 91801",jtc@jtc-cpas.com,"If you are looking for a blend of personal service and expertise, you have come to the right place! We offer a broad range of services for business owners, executives and independent professionals. Our rates are affordable. We are experienced and we're friendly. Please call us for a free initial consultation.","Financial Planning Consultants, Accountants-Certified Public, Estate Planning Attorneys"
JCH Tax Group,(951) 428-4023,http://www.jchtaxgroup.com,"28910 Rancho California Rd Temecula, CA 92590",jchtaxgroup@yahoo.com,"For more than 20 years in the Temecula Valley Professionals at JCH Tax Group have been assisting Individuals and Business with their Income Tax Preparation, Tax Planning and IRS problem resolution. In addition to providing you with a profile of our company and the services we provide, this Website has been designed to become a helpful resource tool to you, our valued current and future clients. Our dedication to providing you with our standard of superior customer service has brought us to the Internet as we strive to continue to provide you with the highest quality professional service and guidance","Bookkeeping, Accountants-Certified Public, Accounting Services"
Crescent Land Title Company,(844) 369-6871,https://www.cltitleco.com,"890 3rd St Crescent City, CA 95531",jbelardi@cltitleco.com,"Crescent Land Title Company is Del Norte County's only local title company and have been meeting the needs of the real estate community, lenders, developers and contractors, and individual buyers and sellers with professional and personalized service for over 57 years. We have a an professional staff with 100+ years of combined experience! We provide professional title insurance and escrow services and we have the expertise to facilitate real estate purchases, exchanges, construction, refinances, or equity loans.","Escrow Service, Financial Services, Insurance"
Gandrud Financial Services,(805) 818-7728,http://gandrudfinancial.com,"1180 Eugenia Pl, Ste 220 Carpinteria, CA 93013",greg@gandrudfinancial.com,"We are committed to offering services that are tailored to your unique needs:Tax return preparationBookkeepingBill payingPayrollBudgeting, debt-reductionFinancial planningQuickBooks setupBusiness consulting","Bookkeeping, Accountants-Certified Public, Financial Services"
Gordin & Associates Inc,(209) 523-2639,http://gordinandassociates.com,"1615 H St Modesto, CA 95354",louise@gordinandassociates.com,"If you have a complex financial situation or are just looking to have someone else operate the calculator, we can help you get a handle on your money. Looking to buy a house, save on your taxes or invest wisely? Our financial specialists at Gordin & Associates Inc. can guide you through the often-confusing world of finance. Whether you need help with your business or with your personal finances, we can make sure you come out on top. Give us a call today to schedule a consultation and start making your money work for you.","Bookkeeping, Financial Services"
Lindsay and Company LLP CPA's,(805) 666-3767,http://www.lindsayandcompanycpa.com,"770 County Square Dr Ste 102 Ventura, CA 93003",tammy@lindsayandcompanycpa.com,"Lindsay and Company CPA was founded in 1975 by Jan Corwin Lindsay to provide financial solutions to businesses and individuals. Jan's focus and client-centered philosophy remains at the core of the firm's services to small- and medium-sized businesses, individuals, and not-for-profit organizations.Maria Berntson and Hien Nguyen became partners in 2010, and continue to embody Jan's philosophy and lead the firm in its commitment to excellent client service.Our CPAs strive to help you find solutions so that you can achieve continued success in an increasingly competitive and global environment. We want to offer advice that will allow you to maximize your company's profitability and efficiency so that you can take advantage of opportunities and handle challenges with knowledge and confidence.Maria U. Berntson, CPA, Partner Thanhien Nguyen, CPA, CGMA, Partner Alison Spring Thompson, CPAJuan Guerrero, CPA Tammy Anderson Birgit NguyenJuli Blasingame Lindsay and Company serves a diverse client base, offering a wide range of services to small- and medium-sized businesses, not-for-profit organizations and individuals. Because our firm is relatively small, our clients benefit by getting personalized, timely and quality service. Below we have listed some of the services we offer, along with a brief description. This list is by no means all-inclusive, so please feel free to inquire about a service if you do not see it listed.Accounting ServicesTax ServicesBusiness Planning and Consulting ServicesFinancial Reporting Services","Tax Return Preparation, Accountants-Certified Public, Financial Services"
Chicago Title,(559) 553-0881,http://www.chicagotitle.com,"1750 W Walnut Ave Visalia, CA 93277",clarkb@ctt.com,Contact Us for More Information,"Insurance, Escrow Service, Financial Services"
Blomberg & Griffin Accountancy Corp - John E Blomberg CPA,(209) 466-3894,http://www.blombergcpa.com,"1013 N California St Stockton, CA 95202",john@blombergcpa.com,"Blomberg & Griffin is a full-service accounting firm serving clients throughout the area, dedicated to providing our clients with professional, personalized services and guidance in a wide range of financial and business needs.  On this website, you will find information about Blomberg & Griffin, including our list of services. We have also provided you with online resources to assist in the tax process and financial decision-making. These tools include downloadable tax forms and publications, financial calculators, news and links to other useful sites. Whether you are an individual or business in or around Stockton, Blomberg & Griffin has years of valuable experience assisting professionals with their accounting needs.","Financial Services, Accountants-Certified Public, Check Cashing Service"
CBS Tax Service,(707) 376-1240,http://www.cbstaxservice.net,"1575 Oak Knoll Rd Ukiah, CA 95482",cbstax@aol.com,"CBS Tax Service    ..............................................................................................................................................................................................If you're looking for high quality and personal service, you've come to the right place. At CBS Tax Service I will give you the attention and personal service you'll come to expect and enjoy. This company is solely run and operated by me, John Thornton. My clients know me as Jak.      I offer payroll, bookkeeping and tax preparation services for    the individual and small business.       My rates are competitive, with no hidden fees. I am the sole owner and employee.       CBS Tax Service has been in business for over 20 years. I recently moved my business to be online. My start was in Ukiah, CA, but I have clients around the country. Most of my recent growth is in Oregon and Washington.","Accountants-Certified Public, Bookkeeping, Financial Services"
L H Harris CPA,(707) 324-4610,https://www.lharriscpa.com,"6400 Redwood Dr, Ste 200 Rohnert Park, CA 94928",gina@lharriscpa.com,"We provide quality, personalized financial guidance for individuals and businesses.  Our services include: tax management and accounting services to more in-depth services such as audits, financial statements, and financial planning.  Please call today to set up an appointment.","Tax Return Preparation, Accountants-Certified Public, Financial Services"
Christopher Pyle,(442) 371-3005,http://cpylecpa.com,"71687 Highway 111 Ste 203 Rancho Mirage, CA 92270",chris@cpylecpa.com,"We are proud to provide accounting and consulting services for a variety of needs and business professionals. Our primary focus is small to medium businesses and individuals in need of personal attention regarding accounting and business planning.QuickBooks AssistanceCertified Quickbooks Consultant We are strong advocates of using QuickBooks accounting software for small businesses. This very popular and powerful program can help you keep better track of your incoming and outgoing funds, categorize your expenses and income, and provide an easy means of delivering your business information to us for processing.We can assist you in setting up your QuickBooks system and show you how to download and send us your QuickBooks data file for a faster and more reliable accounting of your business and cash flow.Christopher Pyle is a Certified QuickBooks Consultant.","Accountants-Certified Public, Accounting Services, Financial Services"
Western Pacific Escrow,(562) 888-5121,http://www.wpescrow.com,"6416 Del Amo Blvd Lakewood, CA 90713",donna@wpescrow.com,"Western Pacific Escrow Inc. is an independent, licensed, bonded, and insured escrow company/settlement agent. We are licensed by the State of California Department of Business Oversight and are also members of the California Escrow Associations, The Long Beach Escrow Associations, The Orange County Escrow Association, and the National Notary Association.","Notaries Public, Escrow Service, Financial Services"
Hutchinson And Bloodgood LLP,(831) 724-2441,http://hbllp.com,"579 Auto Center Dr Watsonville, CA 95076",info@hbllp.com,"At Hutchinson and Bloodgood LLP, we deliver accounting and consulting services that maximize your wealth and position your business for growth. We have built our reputation based on the trusted advice and quality service we have given our clients for over ninety years. Committed to providing our clients with informed choices, we offer continuous personal service in the areas of tax planning, auditing, information technology consulting, business valuations, and business advisory services. We are a regional firm with offices throughout California. We have assembled an impressive team of accountants and consultants and are proud of the diverse backgrounds and experience our team members provide. Building lasting relationships has become the hallmark of our reputation.  We have assembled an extraordinary team of 35 partners and over 100 team members with diverse backgrounds and experiences to understand and meet your unique needs.","Financial Services, Accountants-Certified Public, Accounting & Bookkeeping Machines & Supplies"
Schwartz Platz & Associates CPA,(916) 489-1697,http://www.schwartzplatz.com,"730 Howe Ave Ste 100 Sacramento, CA 95825",kplatz@schwartzplatz.com,"A firm experienced and dedicated business professionals, Schwartz Platz & Associates, CPA has extensive experience in organization and individual income tax planning, accounting software installation and support, auditing and accounting services and financial planning for owners of closely held corporations. We also have extensive experience in audits of nonprofit corporations, health and welfare organizations, pension plans and various other trust funds.  We review financial information with our clients to make sure they are getting the most of our reports and understand where their financial strengths and weaknesses are. We review our client's tax situation and keep them updated on the latest news in tax savings.  Having been in business in Sacramento for over 30 years, we have formed alliances with other professionals in the area. These alliances help our clients receive the best in professional CPA services. We work with a number of lawyers, investment brokers and lenders. When a client doesn't know who to turn to, we can tap into our resources and fill-in the gaps.  Ever dedicated to the needs of our clients, we participate in a quality assurance program sponsored by the American Institute of Certified Public Accounts.","Financial Services, Accountants-Certified Public, Accounting Services"
Apple & Associates,(530) 272-1345,https://www.appleandassociates.com,"565 Brunswick Rd Ste 8 Grass Valley, CA 95945",danapple@appleandassociates.com,"Apple and Associates - Financial Planning and Advisory Service, Investment Management, Retirement Planning, Life Insurance. 565 Brunswick Rd, Suite 8, Grass Valley CA","Investment Securities, Estate Planning, Probate, & Living Trusts, Financial Planners"
Tracy Lamond CFA-TLC Investment Management,(415) 234-6320,http://www.tlcinvestmentmanagment.com,"4 Oak Forest Rd Novato, CA 94949",tlc@tlcim.com,Please Visit Our Website for More Information,"Financial Services, Financial Planning Consultants, Investment Advisory Service"
Peterson Burnell Glauser & Allred,(619) 440-5242,http://www.eastcountylaw.com,"222 W Madison Ave El Cajon, CA 92020",lcw@eclaw.biz,Our Firm Handles Legal Matters in the Following Areas: *General Civil Litigation *Bankruptcy *Debt Relief *Chapter 7 *Insolvency *Corporation *Business *Administrative *Collection *Probate *Trust *Personal Injury *Auto Accidents *Wrongful Death *Dog Bites *Family *Divorce *Domestic Violence *Premarital Agreements *Property Division *Criminal and Real Estate Law *Workers' Comp *Social Security Law,"Workers Compensation Assistance, Attorneys, Bankruptcy Law Attorneys"
"Barber, Victoria J EA",(925) 757-2299,http://vbarber.com,"2817 Lupine Ct Antioch, CA 94531",victoria@vbarber.com,*Serving the East Bay Since 1983,"Financial Services, Accounting Services, Bookkeeping"
